Make,Variant,Length,Geo,Origin,Price,Year
Bali,4.0,41,Europe,France,435482,2015
Bali,4.0,41,Europe,France,415122,2014
Bali,4.3,41,Europe,Spain,482543,2015
Bali,4.3,42,Europe,Turkey,554323,2015
Bali,4.3,38,Europe,Spain,474271,2014
Bali,4.3,44,USA,Florida,441298,2014
Bali,4.5,42,Europe,France,509962,2015
Bali,4.5,46,Europe,Greece,453036,2015
Bali,4.5,43,Europe,Greece,502430,2015
Bali,4.5,39,Europe,Greece,433291,2015
Bali,4.0,40,Caribbean,Grenada,286204,2015
Bali,4.0,40,Europe,Greece,354375,2016
Bali,4.0,41,Europe,Greece,357276,2016
Bali,4.0,37,Europe,Greece,358380,2016
Bali,4.1,42,Europe,Greece,407027,2016
Bali,4.1,39,Europe,Greece,398843,2016
Bali,4.3,45,Europe,Greece,444730,2016
Bali,4.3,43,Caribbean,Saint-Martin,417375,2015
Bali,4.3,40,Europe,Spain,488972,2015
Bali,4.3,37,Europe,Greece,489951,2016
Bali,4.5,44,Europe,Spain,390173,2016
Bali,4.3,42,Europe,Greece,420125,2016
Bali,4.3,41,Europe,Greece,441720,2017
Bali,4.5,46,Europe,Italy,606478,2017
Bali,4.5,39,Europe,Italy,583374,2016
Bali,4.5,46,Europe,Greece,423106,2017
Bali,4.5,41,Europe,Greece,344129,2017
Bali,4.6,47,Europe,Spain,332218,2017
Bali,4.0,40,Europe,Italy,315054,2017
Bali,4.0,42,USA,Florida,453414,2018
Bali,4.1,39,Europe,Italy,496717,2017
Bali,4.1,44,Europe,Italy,530249,2017
Bali,4.1,38,Europe,Spain,412921,2018
Bali,4.1,42,Europe,Greece,422567,2017
Bali,4.1,40,Europe,Croatia,375846,2018
Bali,4.3,42,Europe,Italy,544646,2017
Bali,4.3,41,Europe,Italy,513064,2017
Bali,4.3 LOFT,43,USA,Maryland,539154,2018
Bali,4.1,42,Europe,Italy,521062,2019
Bali,4.1,38,Europe,Italy,481943,2019
Bali,4.1,37,Europe,France,515263,2019
Bali,4.1,39,Europe,France,469944,2018
Bali,4.1,40,Europe,Croatia,465191,2018
Bali,4.1,41,Europe,Croatia,425855,2018
Bali,4.1,38,Europe,Croatia,474324,2018
Bali,4.1,42,Europe,Croatia,403275,2018
Bali,4.1,41,Europe,Greece,287674,2018
Bali,4.3,43,Europe,Greece,573543,2019
Bali,4.3,42,Europe,Greece,509236,2018
Bali,4.5,42,Europe,Croatia,575233,2019
Bali,4.5,42,Europe,Croatia,610055,2019
Bali,4.5,40,Europe,Croatia,553078,2019
Bali,4.0,41,Europe,France,435482,2015
Bali,4.0,41,Europe,France,415122,2014
Bali,4.3,41,Europe,Spain,482543,2015
Bali,4.3,42,Europe,Turkey,554323,2015
Bali,4.3,38,Europe,Spain,474271,2014
Bali,4.3,44,USA,Florida,441298,2014
Bali,4.5,42,Europe,France,509962,2015
Bali,4.5,46,Europe,Greece,453036,2015
Bali,4.5,43,Europe,Greece,502430,2015
Bali,4.5,39,Europe,Greece,433291,2015
Bali,4.0,40,Caribbean,Grenada,286204,2015
Bali,4.0,40,Europe,Greece,354375,2016
Bali,4.0,41,Europe,Greece,357276,2016
Bali,4.0,37,Europe,Greece,358380,2016
Bali,4.1,42,Europe,Greece,407027,2016
Bali,4.1,39,Europe,Greece,398843,2016
Bali,4.3,45,Europe,Greece,444730,2016
Bali,4.3,43,Caribbean,Saint-Martin,417375,2015
Bali,4.3,40,Europe,Spain,488972,2015
Bali,4.3,37,Europe,Greece,489951,2016
Bali,4.5,44,Europe,Spain,390173,2016
Bali,4.3,42,Europe,Greece,420125,2016
Bali,4.3,41,Europe,Greece,441720,2017
Bali,4.5,46,Europe,Italy,606478,2017
Bali,4.5,39,Europe,Italy,583374,2016
Bali,4.5,46,Europe,Greece,423106,2017
Bali,4.5,41,Europe,Greece,344129,2017
Bali,4.6,47,Europe,Spain,332218,2017
Bali,4.0,40,Europe,Italy,315054,2017
Bali,4.0,42,USA,Florida,453414,2018
Bali,4.1,39,Europe,Italy,496717,2017
Bali,4.1,44,Europe,Italy,530249,2017
Bali,4.1,38,Europe,Spain,412921,2018
Bali,4.1,42,Europe,Greece,422567,2017
Bali,4.1,40,Europe,Croatia,375846,2018
Bali,4.3,42,Europe,Italy,544646,2017
Bali,4.3,41,Europe,Italy,513064,2017
Bali,4.3 LOFT,43,USA,Maryland,539154,2018
Bali,4.1,42,Europe,Italy,521062,2019
Bali,4.1,38,Europe,Italy,481943,2019
Bali,4.1,37,Europe,France,515263,2019
Bali,4.1,39,Europe,France,469944,2018
Bali,4.1,40,Europe,Croatia,465191,2018
Bali,4.1,41,Europe,Croatia,425855,2018
Bali,4.1,38,Europe,Croatia,474324,2018
Bali,4.1,42,Europe,Croatia,403275,2018
Bali,4.1,41,Europe,Greece,287674,2018
Bali,4.3,43,Europe,Greece,573543,2019
Bali,4.3,42,Europe,Greece,509236,2018
Bali,4.5,42,Europe,Croatia,575233,2019
Bali,4.5,42,Europe,Croatia,610055,2019
Bali,4.5,40,Europe,Croatia,553078,2019
