Make,Variant,Length,Geo,Origin,Price,Year
Broadblue,415,44,Caribbean,Grenada,323156,2004
Broadblue,385,38,Europe,Spain,223211,2006
Broadblue,385,40,Europe,United Kingdom,243430,2006
Broadblue,385,35,Europe,Spain,224906,2006
Broadblue,385,39,Europe,United Kingdom,218543,2005
Broadblue,385,37,Europe,Spain,218321,2004
Broadblue,435,44,Europe,Greece,279373,2006
Broadblue,385,36,Europe,Greece,203110,2007
Broadblue,385,39,Europe,United Kingdom,193794,2006
Broadblue,385,37,Europe,Greece,193370,2006
Broadblue,385,37,Europe,Greece,194725,2008
Broadblue,385,38,Europe,Greece,196212,2008
Broadblue,415,44,Europe,Spain,369451,2008
Broadblue,415,41,Europe,Spain,372879,2007
Broadblue,385,37,Caribbean,Grenada,201035,2010
Broadblue,415,44,Caribbean,Grenada,323156,2004
Broadblue,385,38,Europe,Spain,223211,2006
Broadblue,385,40,Europe,United Kingdom,243430,2006
Broadblue,385,35,Europe,Spain,224906,2006
Broadblue,385,39,Europe,United Kingdom,218543,2005
Broadblue,385,37,Europe,Spain,218321,2004
Broadblue,435,44,Europe,Greece,279373,2006
Broadblue,385,36,Europe,Greece,203110,2007
Broadblue,385,39,Europe,United Kingdom,193794,2006
Broadblue,385,37,Europe,Greece,193370,2006
Broadblue,385,37,Europe,Greece,194725,2008
Broadblue,385,38,Europe,Greece,196212,2008
Broadblue,415,44,Europe,Spain,369451,2008
Broadblue,415,41,Europe,Spain,372879,2007
Broadblue,385,37,Caribbean,Grenada,201035,2010
