Make,Variant,Length,Geo,Origin,Price,Year
Catana,47 Ocean Class,48,Caribbean,Guatemala,498238,2005
Catana,50,51,Europe,France,683787,2006
Catana,50,52,Europe,France,707870,2008
Catana,50,56,Europe,Spain,634553,2007
Catana,47,48,Caribbean,Martinique,553895,2009
Catana,47,48,Caribbean,Martinique,621174,2010
Catana,47 Ocean Class,48,Caribbean,Guatemala,498238,2005
Catana,50,51,Europe,France,683787,2006
Catana,50,52,Europe,France,707870,2008
Catana,50,56,Europe,Spain,634553,2007
Catana,47,48,Caribbean,Martinique,553895,2009
Catana,47,48,Caribbean,Martinique,621174,2010
