Make,Variant,Length,Geo,Origin,Price,Year
Lagoon ,440,45,USA,Georgia,390895,2004
Lagoon ,440,46,USA,Florida,319828,2005
Lagoon ,380 S2,37,USA,Maryland,224968,2006
Lagoon ,440,41,USA,Florida,286591,2006
Lagoon ,570,53,Europe,France,711812,2006
Lagoon ,420,41,USA,Florida,380344,2008
Lagoon ,500,50,Europe,Greece,587013,2006
Lagoon ,420,43,USA,Florida,277138,2008
Lagoon ,500,48,Europe,Greece,506666,2008
Lagoon ,400,41,Caribbean,Netherlands Antilles,295391,2011
Lagoon ,450F,42,USA,Florida,481265,2010
Lagoon ,380,36,USA,New York,277841,2012
Lagoon ,450,42,USA,Florida,445342,2012
Lagoon ,450,43,USA,Florida,486953,2012
Lagoon ,52,51,Europe,Greece,814059,2012
Lagoon ,52,46,Europe,Croatia,856651,2013
Lagoon ,52,49,Europe,Croatia,864901,2013
Lagoon ,52F,47,Europe,Greece,787379,2012
Lagoon ,39,38,USA,Florida,275777,2013
Lagoon ,450F,46,Caribbean,Martinique,383598,2014
Lagoon ,52F,46,Europe,Greece,1065708,2014
Lagoon ,52,47,Europe,Croatia,1049458,2013
Lagoon ,52,52,Europe,Italy,995419,2014
Lagoon ,52,49,Europe,Turkey,928300,2014
Lagoon ,52,52,Europe,France,1032901,2014
Lagoon ,52,55,Europe,Croatia,758307,2013
Lagoon ,450S,47,Europe,France,503110,2014
Lagoon ,52F,54,Europe,Greece,1099182,2015
Lagoon ,52,52,Europe,Greece,1108668,2014
Lagoon ,52,51,Europe,Greece,1117198,2015
Lagoon ,52,52,Europe,Greece,1093703,2014
Lagoon ,52F,54,Europe,Greece,960458,2014
Lagoon ,52F,47,Europe,Croatia,850974,2015
Lagoon ,52,49,Europe,France,817883,2014
Lagoon ,39,37,USA,Florida,337614,2016
Lagoon ,52,49,Europe,France,966226,2015
Lagoon ,42,41,USA,North Carolina,557090,2016
Lagoon ,52F,50,Europe,Croatia,488765,2017
Lagoon ,450S,43,USA,Florida,702899,2017
Lagoon ,52 Sport,49,Caribbean,Mexico,998590,2018
Lagoon ,440,45,USA,Georgia,390895,2004
Lagoon ,440,46,USA,Florida,319828,2005
Lagoon ,380 S2,37,USA,Maryland,224968,2006
Lagoon ,440,41,USA,Florida,286591,2006
Lagoon ,570,53,Europe,France,711812,2006
Lagoon ,420,41,USA,Florida,380344,2008
Lagoon ,500,50,Europe,Greece,587013,2006
Lagoon ,420,43,USA,Florida,277138,2008
Lagoon ,500,48,Europe,Greece,506666,2008
Lagoon ,400,41,Caribbean,Netherlands Antilles,295391,2011
Lagoon ,450F,42,USA,Florida,481265,2010
Lagoon ,380,36,USA,New York,277841,2012
Lagoon ,450,42,USA,Florida,445342,2012
Lagoon ,450,43,USA,Florida,486953,2012
Lagoon ,52,51,Europe,Greece,814059,2012
Lagoon ,52,46,Europe,Croatia,856651,2013
Lagoon ,52,49,Europe,Croatia,864901,2013
Lagoon ,52F,47,Europe,Greece,787379,2012
Lagoon ,39,38,USA,Florida,275777,2013
Lagoon ,450F,46,Caribbean,Martinique,383598,2014
Lagoon ,52F,46,Europe,Greece,1065708,2014
Lagoon ,52,47,Europe,Croatia,1049458,2013
Lagoon ,52,52,Europe,Italy,995419,2014
Lagoon ,52,49,Europe,Turkey,928300,2014
Lagoon ,52,52,Europe,France,1032901,2014
Lagoon ,52,55,Europe,Croatia,758307,2013
Lagoon ,450S,47,Europe,France,503110,2014
Lagoon ,52F,54,Europe,Greece,1099182,2015
Lagoon ,52,52,Europe,Greece,1108668,2014
Lagoon ,52,51,Europe,Greece,1117198,2015
Lagoon ,52,52,Europe,Greece,1093703,2014
Lagoon ,52F,54,Europe,Greece,960458,2014
Lagoon ,52F,47,Europe,Croatia,850974,2015
Lagoon ,52,49,Europe,France,817883,2014
Lagoon ,39,37,USA,Florida,337614,2016
Lagoon ,52,49,Europe,France,966226,2015
Lagoon ,42,41,USA,North Carolina,557090,2016
Lagoon ,52F,50,Europe,Croatia,488765,2017
Lagoon ,450S,43,USA,Florida,702899,2017
Lagoon ,52 Sport,49,Caribbean,Mexico,998590,2018
