Make,Variant,Length,Geo,Origin,Price,Year
Lagoon,380,38,Caribbean,Martinique,203167,2004
Lagoon,380,37,Caribbean,Guadeloupe,191466,2005
Lagoon,380,34,USA,Florida,220132,2004
Lagoon,410,39,Caribbean,Grenada,236920,2004
Lagoon,410-S2,36,Europe,Spain,317162,2003
Lagoon,410-S2,40,Europe,Turkey,236724,2003
Lagoon,410,39,USA,Florida,234571,2005
Lagoon,440,45,Caribbean,Martinique,361647,2004
Lagoon,440,42,Caribbean,Martinique,370432,2004
Lagoon,440,47,USA,Florida,305018,2004
Lagoon,410-S2,39,Europe,Spain,305630,2006
Lagoon,420,39,Europe,Italy,351962,2007
Lagoon,440,41,Europe,Greece,341371,2005
Lagoon,440,45,Europe,Greece,307971,2006
Lagoon,440,44,Europe,Greece,326872,2004
Lagoon,440,44,Europe,Italy,291663,2005
Lagoon,440,43,Europe,Italy,330315,2006
Lagoon,440,47,Europe,Italy,286141,2008
Lagoon,440,43,Europe,Italy,320664,2004
Lagoon,440,45,Europe,Croatia,259780,2005
Lagoon,440,43,Europe,Croatia,289765,2006
Lagoon,440,42,Europe,Croatia,262048,2007
Lagoon,440,46,USA,Florida,336319,2005
Lagoon,50 Owners Version,52,Caribbean,Martinique,435760,2006
Lagoon,50,49,Caribbean,British Virgin Islands,437714,2005
Lagoon,500,46,Europe,Spain,515734,2004
Lagoon,500,52,Europe,Greece,530856,2005
Lagoon,500,48,Europe,Greece,450683,2006
Lagoon,500,50,Europe,Greece,532362,2006
Lagoon,500,52,Europe,Greece,427497,2005
Lagoon,500,48,Europe,Greece,451951,2006
Lagoon,500,53,Europe,Greece,447053,2004
Lagoon,420,38,Europe,Germany,321833,2005
Lagoon,440,45,Caribbean,Martinique,367079,2007
Lagoon,440,42,Caribbean,Martinique,385066,2006
Lagoon,440,42,Caribbean,Netherlands Antilles,294375,2006
Lagoon,440,45,Europe,Spain,370082,2006
Lagoon,440,43,Europe,Spain,414479,2008
Lagoon,440,39,Europe,Spain,339818,2008
Lagoon,440,45,Europe,Spain,306193,2006
Lagoon,440,43,Europe,Greece,286592,2005
Lagoon,440,49,Europe,Greece,313863,2007
Lagoon,440,47,USA,Florida,336997,2006
Lagoon,440,46,USA,Maryland,307305,2007
Lagoon,420,53,USA,Florida,437645,2006
Lagoon,500,51,Europe,Spain,596337,2007
Lagoon,500,50,Europe,Italy,497107,2007
Lagoon,380 S2,38,Europe,Italy,253061,2006
Lagoon,380,36,Europe,Italy,232810,2007
Lagoon,380,40,USA,Florida,231902,2007
Lagoon,420,40,Caribbean,Guatemala,361756,2007
Lagoon,420,39,Caribbean,Martinique,357467,2006
Lagoon,420,40,Caribbean,Martinique,315058,2007
Lagoon,420,44,Caribbean,Cayman Islands,309276,2008
Lagoon,420,41,Caribbean,British Virgin Islands,303898,2007
Lagoon,420,41,Caribbean,Cayman Islands,310317,2008
Lagoon,420,40,Caribbean,British Virgin Islands,317332,2007
Lagoon,420,39,Caribbean,Cayman Islands,302333,2007
Lagoon,420,40,Caribbean,Cayman Islands,287403,2009
Lagoon,420,43,Europe,Greece,355612,2009
Lagoon,420,41,Europe,Greece,361988,2007
Lagoon,420,40,Europe,France,335852,2009
Lagoon,420,42,Europe,France,333898,2007
Lagoon,420,41,Europe,France,341166,2007
Lagoon,420,41,Europe,France,346424,2007
Lagoon,420,37,Europe,Spain,314529,2007
Lagoon,420,38,Europe,Spain,345771,2007
Lagoon,420,39,Europe,Greece,308518,2006
Lagoon,420,41,Europe,Greece,336688,2007
Lagoon,420,40,USA,Maryland,372423,2007
Lagoon,420,40,USA,Florida,408140,2007
Lagoon,440,39,Europe,Italy,285975,2009
Lagoon,440,39,Europe,Italy,303158,2008
Lagoon,440,47,Caribbean,Guadeloupe,385870,2008
Lagoon,440,45,Caribbean,Guadeloupe,355177,2008
Lagoon,440,44,Caribbean,Guadeloupe,347398,2008
Lagoon,440,47,Caribbean,Dominican Republic,337161,2008
Lagoon,440,44,Caribbean,Mexico,317948,2008
