Make,Variant,Length,Geo,Origin,Price,Year
Manta,42 MK II,43,USA,Florida,276305,2004
Manta,42 MK II,44,USA,Florida,250137,2004
Manta,42 MK II,40,USA,Florida,255649,2005
Manta,42 MK II,42,USA,Florida,266310,2003
Manta,42 MK IV,42,USA,Florida,269401,2009
Manta,42 MK IV,40,USA,Florida,257693,2006
Manta,42 MK II,43,USA,Florida,276305,2004
Manta,42 MK II,44,USA,Florida,250137,2004
Manta,42 MK II,40,USA,Florida,255649,2005
Manta,42 MK II,42,USA,Florida,266310,2003
Manta,42 MK IV,42,USA,Florida,269401,2009
Manta,42 MK IV,40,USA,Florida,257693,2006
