Make,Variant,Length,Geo,Origin,Price,Year
Outremer,49,52,Europe,France,781981,2010
Outremer,49,48,Caribbean,Grenada,612982,2010
Outremer,49,53,Europe,France,882532,2010
Outremer,49,48,Europe,France,833319,2010
Outremer,45,43,Europe,France,882870,2014
Outremer,45,44,Europe,France,913124,2018
Outremer,45,43,Europe,France,899973,2019
Outremer,49,52,Europe,France,781981,2010
Outremer,49,48,Caribbean,Grenada,612982,2010
Outremer,49,53,Europe,France,882532,2010
Outremer,49,48,Europe,France,833319,2010
Outremer,45,43,Europe,France,882870,2014
Outremer,45,44,Europe,France,913124,2018
Outremer,45,43,Europe,France,899973,2019
