Make,Variant,Length,Geo,Origin,Price,Year
Privilege,435,41,Caribbean,Guatemala,357596,2006
Privilege,435,45,Caribbean,Guatemala,322480,2006
Privilege,435,47,Caribbean,Mexico,320252,2006
Privilege,435,44,Caribbean,Mexico,317493,2006
Privilege,495,49,USA,Massachusetts,444691,2005
Privilege,495,47,Caribbean,Martinique,482232,2008
Privilege,495,48,Caribbean,Martinique,428081,2008
Privilege,495,48,Caribbean,Martinique,381408,2008
Privilege,495,48,Caribbean,Martinique,349855,2006
Privilege,Series 5,54,Caribbean,Grenada,853080,2013
Privilege,Series 5,56,USA,Florida,1182045,2015
Privilege,Series 5,53,USA,Florida,974457,2014
Privilege,Series 5,61,Caribbean,Guadeloupe,1114453,2017
Privilege,Series 5,59,USA,Florida,1552505,2019
Privilege,435,41,Caribbean,Guatemala,357596,2006
Privilege,435,45,Caribbean,Guatemala,322480,2006
Privilege,435,47,Caribbean,Mexico,320252,2006
Privilege,435,44,Caribbean,Mexico,317493,2006
Privilege,495,49,USA,Massachusetts,444691,2005
Privilege,495,47,Caribbean,Martinique,482232,2008
Privilege,495,48,Caribbean,Martinique,428081,2008
Privilege,495,48,Caribbean,Martinique,381408,2008
Privilege,495,48,Caribbean,Martinique,349855,2006
Privilege,Series 5,54,Caribbean,Grenada,853080,2013
Privilege,Series 5,56,USA,Florida,1182045,2015
Privilege,Series 5,53,USA,Florida,974457,2014
Privilege,Series 5,61,Caribbean,Guadeloupe,1114453,2017
Privilege,Series 5,59,USA,Florida,1552505,2019
