Make,Variant,Length,Geo,Origin,Price,Year
Voyage Yachts,500,49,Caribbean,British Virgin Islands,528778,2008
Voyage Yachts,500,50,Caribbean,British Virgin Islands,452246,2007
Voyage Yachts,500,53,USA,Florida,362830,2007
Voyage Yachts,500 Owner's Version,53,USA,Florida,624744,2010
Voyage Yachts,Voyage 520 DC,49,Caribbean,Barbados,685955,2011
Voyage Yachts,Voyage 480,48,Caribbean,British Virgin Islands,598890,2015
Voyage Yachts,500,49,Caribbean,British Virgin Islands,528778,2008
Voyage Yachts,500,50,Caribbean,British Virgin Islands,452246,2007
Voyage Yachts,500,53,USA,Florida,362830,2007
Voyage Yachts,500 Owner's Version,53,USA,Florida,624744,2010
Voyage Yachts,Voyage 520 DC,49,Caribbean,Barbados,685955,2011
Voyage Yachts,Voyage 480,48,Caribbean,British Virgin Islands,598890,2015
