Make,Variant,Length,Geo,Origin,Price,Year
Lagoon,380,38,Caribbean,Martinique,203167,2004
Lagoon,380,37,Caribbean,Guadeloupe,191466,2005
Lagoon,380,34,USA,Florida,220132,2004
Fountaine Pajot,Lavezzi 40,36,Caribbean,Mexico,196738,2004
Leopard,40,40,Caribbean,Panama,197146,2006
Nautitech,40,41,Europe,Croatia,189250,2004
Nautitech,40,41,Europe,Croatia,196839,2002
Lagoon,410,39,Caribbean,Grenada,236920,2004
Lagoon,410-S2,36,Europe,Spain,317162,2003
Lagoon,410-S2,40,Europe,Turkey,236724,2003
Lagoon,410,39,USA,Florida,234571,2005
Broadblue,415,44,Caribbean,Grenada,323156,2004
Manta,42 MK II,43,USA,Florida,276305,2004
Manta,42 MK II,44,USA,Florida,250137,2004
Manta,42 MK II,40,USA,Florida,255649,2005
Knysna,440,45,Caribbean,Grenada,235340,2003
Lagoon,440,45,Caribbean,Martinique,361647,2004
Lagoon,440,42,Caribbean,Martinique,370432,2004
Lagoon ,440,45,USA,Georgia,390895,2004
Lagoon,440,47,USA,Florida,305018,2004
Lagoon ,440,46,USA,Florida,319828,2005
Fountaine Pajot ,Bahia 46,48,Caribbean,Martinique,264033,2003
Fountaine Pajot,Bahia 46,40,Caribbean,Martinique,231649,2006
Fountaine Pajot,Bahia 46,48,USA,Florida,222778,2005
Nautitech,47,45,Caribbean,Dominican Republic,264504,2004
Leopard,47,49,Caribbean,U.S. Virgin Islands,255066,2003
Fountaine Pajot,Athena 38,36,Europe,Croatia,158400,2005
Fountaine Pajot,Athena 38,38,Europe,Croatia,153271,2005
Fountaine Pajot,Athena 38,39,Europe,Croatia,148608,2006
Fountaine Pajot,Athena 38,35,Europe,Croatia,144331,2005
Fountaine Pajot,Athena 38,37,Europe,Croatia,125657,2006
Broadblue,385,38,Europe,Spain,223211,2006
Broadblue,385,40,Europe,United Kingdom,243430,2006
Broadblue,385,35,Europe,Spain,224906,2006
Broadblue,385,39,Europe,United Kingdom,218543,2005
Broadblue,385,37,Europe,Spain,218321,2004
Fountaine Pajot,Lavezzi 40,37,Europe,Greece,209281,2004
Fountaine Pajot,Lavezzi 40,38,Europe,Italy,189745,2005
Leopard ,40,38,USA,Washington,235140,2005
Fountaine Pajot,Lavezzi 40,37,USA,Texas,229830,2005
Leopard ,40,38,USA,Florida,210557,2005
Nautitech,40,36,Europe,Greece,226872,2006
Nautitech,40,38,Europe,Greece,231969,2004
Nautitech,40,40,Europe,Italy,210838,2006
Nautitech,40,40,Europe,Greece,207326,2005
Nautitech,40,39,Europe,Greece,206441,2005
Nautitech,40,38,Europe,Greece,199572,2005
Nautitech,40,38,Europe,Greece,198405,2005
Nautitech,402,44,USA,Florida,210532,2007
Lagoon,410-S2,39,Europe,Spain,305630,2006
Lagoon,420,39,Europe,Italy,351962,2007
Maine Cat,41,43,USA,New York,371736,2005
Manta,42 MK II,42,USA,Florida,266310,2003
Leopard,43,40,Europe,Italy,218131,2005
Fountaine Pajot,Belize 43,43,USA,Florida,294165,2008
Privilege,435,41,Caribbean,Guatemala,357596,2006
Privilege,435,45,Caribbean,Guatemala,322480,2006
Privilege,435,47,Caribbean,Mexico,320252,2006
Privilege,435,44,Caribbean,Mexico,317493,2006
Broadblue,435,44,Europe,Greece,279373,2006
Lagoon,440,41,Europe,Greece,341371,2005
Lagoon,440,45,Europe,Greece,307971,2006
Lagoon,440,44,Europe,Greece,326872,2004
Lagoon,440,44,Europe,Italy,291663,2005
Lagoon,440,43,Europe,Italy,330315,2006
Lagoon,440,47,Europe,Italy,286141,2008
Lagoon,440,43,Europe,Italy,320664,2004
Lagoon,440,45,Europe,Croatia,259780,2005
Lagoon,440,43,Europe,Croatia,289765,2006
Lagoon,440,42,Europe,Croatia,262048,2007
Lagoon,440,46,USA,Florida,336319,2005
Fountaine Pajot ,Bahia 46,49,Caribbean,Martinique,362608,2006
Fountaine Pajot,Bahia 46,48,Caribbean,Martinique,315269,2006
Fountaine Pajot,Pajot Bahia 46,46,Europe,Italy,242457,2005
