Make,Variant,Length,Geo,Origin,Price,Year
Archambault,40 RC,39,Europe,Greece,143663,2006
Archambault,40 RC,33,Europe,France,130795,2005
Archambault,40 RC,36,Europe,France,131245,2008
Archambault,40 RC,40,Europe,France,132201,2008
Archambault,40 RC,34,Europe,Spain,153517,2006
Archambault,40 RC,35,Europe,Spain,147494,2010
Archambault,40 RC,39,Europe,Greece,143663,2006
Archambault,40 RC,33,Europe,France,130795,2005
Archambault,40 RC,36,Europe,France,131245,2008
Archambault,40 RC,40,Europe,France,132201,2008
Archambault,40 RC,34,Europe,Spain,153517,2006
Archambault,40 RC,35,Europe,Spain,147494,2010
