Make,Variant,Length,Geo,Origin,Price,Year
Bavaria ,Cruiser 46,48,Caribbean,Saint Lucia,146774,2004
Bavaria ,Cruiser 50,47,Caribbean,Martinique,205302,2006
Bavaria ,45 Cruiser,45,Caribbean,Antigua and Barbuda,149317,2011
Bavaria ,Cruiser 46,44,Caribbean,British Virgin Islands,200652,2014
Bavaria ,Cruiser 46,44,Caribbean,British Virgin Islands,230170,2013
Bavaria ,Cruiser 46,48,Caribbean,Saint Lucia,146774,2004
Bavaria ,Cruiser 50,47,Caribbean,Martinique,205302,2006
Bavaria ,45 Cruiser,45,Caribbean,Antigua and Barbuda,149317,2011
Bavaria ,Cruiser 46,44,Caribbean,British Virgin Islands,200652,2014
Bavaria ,Cruiser 46,44,Caribbean,British Virgin Islands,230170,2013
