Make,Variant,Length,Geo,Origin,Price,Year
Beneteau ,Cyclades 50.5,50,Caribbean,Grenada,98393,2003
Beneteau ,Oceanis 50,45,Caribbean,Dominican Republic,276959,2006
Beneteau ,Oceanis 50,48,Caribbean,Martinique,188953,2007
Beneteau ,Cyclades 50.5,47,Caribbean,Guadeloupe,270296,2003
Beneteau ,America 50,49,Caribbean,Mexico,296062,2006
Beneteau ,Oceanis 50,46,Caribbean,Martinique,181279,2009
Beneteau ,First 45,43,Caribbean,Martinique,185343,2009
Beneteau ,Oceanis 50,47,Caribbean,Antigua and Barbuda,195603,2011
Beneteau ,Oceanis 45,49,Caribbean,Saint Vincent and the Grenadines,130250,2012
Beneteau ,Oceanis 50,49,Caribbean,Grenada,249238,2013
Beneteau ,Oceanis 45,40,Caribbean,Antigua and Barbuda,241197,2012
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,180658,2013
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,175163,2016
Beneteau ,Moorings 43.5,44,Caribbean,British Virgin Islands,75114,2015
Beneteau ,Oceanis 45,38,Caribbean,British Virgin Islands,193174,2015
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,179159,2015
Beneteau ,Oceanis 45,45,Caribbean,Martinique,330987,2015
Beneteau ,Oceanis 48,50,Caribbean,British Virgin Islands,286411,2017
Beneteau ,Oceanis 48,47,Caribbean,British Virgin Islands,314742,2015
Beneteau ,Cyclades 50.5,50,Caribbean,Grenada,98393,2003
Beneteau ,Oceanis 50,45,Caribbean,Dominican Republic,276959,2006
Beneteau ,Oceanis 50,48,Caribbean,Martinique,188953,2007
Beneteau ,Cyclades 50.5,47,Caribbean,Guadeloupe,270296,2003
Beneteau ,America 50,49,Caribbean,Mexico,296062,2006
Beneteau ,Oceanis 50,46,Caribbean,Martinique,181279,2009
Beneteau ,First 45,43,Caribbean,Martinique,185343,2009
Beneteau ,Oceanis 50,47,Caribbean,Antigua and Barbuda,195603,2011
Beneteau ,Oceanis 45,49,Caribbean,Saint Vincent and the Grenadines,130250,2012
Beneteau ,Oceanis 50,49,Caribbean,Grenada,249238,2013
Beneteau ,Oceanis 45,40,Caribbean,Antigua and Barbuda,241197,2012
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,180658,2013
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,175163,2016
Beneteau ,Moorings 43.5,44,Caribbean,British Virgin Islands,75114,2015
Beneteau ,Oceanis 45,38,Caribbean,British Virgin Islands,193174,2015
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,179159,2015
Beneteau ,Oceanis 45,45,Caribbean,Martinique,330987,2015
Beneteau ,Oceanis 48,50,Caribbean,British Virgin Islands,286411,2017
Beneteau ,Oceanis 48,47,Caribbean,British Virgin Islands,314742,2015
