Make,Variant,Length,Geo,Origin,Price,Year
Beneteau,First 40.7,35,Europe,Croatia,158448,2006
Beneteau,Cyclades 39.3,37,USA,Florida,74224,2003
Beneteau,Cyclades 39.3 ,36,Europe,Greece,82989,2000
Beneteau,First 40.7,43,USA,Illinois,111267,2005
Beneteau,Cyclades 39.3 ,35,Europe,Italy,108614,2005
Beneteau,Cyclades 39.3 ,32,Europe,Italy,88612,2003
Beneteau,Cyclades 39.3,38,Caribbean,Mexico,100149,2003
Beneteau,Cyclades 39.3 ,35,Europe,Portugal,91405,2004
Beneteau,Cyclades 39.3 ,41,Europe,Spain,126084,2005
Beneteau,Cyclades 39.3 ,35,Europe,Spain,92542,2001
Beneteau,Cyclades 39.3 ,39,Europe,United Kingdom,88360,2005
Beneteau,Oceanis 423,38,USA,Connecticut,146995,2001
Beneteau,Cyclades 43.3,38,Europe,France,115833,2003
Beneteau,Cyclades 43.3,52,Europe,France,115811,2001
Beneteau,Cyclades 43.3,39,Europe,France,104025,2006
Beneteau,Oceanis Clipper 423,42,Europe,Greece,120513,2004
Beneteau,Oceanis Clipper 423,45,Europe,Italy,102757,2003
Beneteau,Oceanis Clipper 423,43,Europe,Malta,113491,2001
Beneteau,Oceanis 423,41,USA,Maryland,143496,2004
Beneteau,Oceanis 43,38,USA,Maryland,117515,1999
Beneteau,Oceanis Clipper 423,38,Europe,Netherlands,111951,2000
Beneteau,Cyclades 43.3,38,Europe,Portugal,110237,2001
Beneteau,First 44.7,41,USA,California,184377,2004
Beneteau,First 44.7,43,USA,California,139917,2003
Beneteau,First 44.7,45,Europe,Greece,130639,2002
Beneteau,First 44.7,37,Europe,Italy,102451,2001
Beneteau,First 44.7,42,USA,Texas,119316,2006
Beneteau,Oceanis Clipper 473,38,Europe,Croatia,173973,2005
Beneteau,Oceanis 473,40,Europe,Croatia,82270,2006
Beneteau,First 47.7,46,Europe,Italy,157229,1999
Beneteau,Oceanis Clipper 473,46,Europe,Malta,150661,2002
