Make,Variant,Length,Geo,Origin,Price,Year
Catalina,387,41,USA,Maryland,128109,2003
Catalina,42 MK II,42,Caribbean,Mexico,156479,2006
Catalina,42 Mk II,42,Europe,United Kingdom,116180,2003
Catalina,42 MK II,43,USA,Washington,153019,2003
Catalina,Morgan 440,50,USA,California,186248,2004
Catalina,Morgan 440,50,Caribbean,Grenada,163438,2001
Catalina,Morgan 440,46,USA,Washington,219859,2001
Catalina,387,36,USA,Maryland,142136,2004
Catalina,387,33,USA,North Carolina,175666,2006
Catalina,400 MK II,41,USA,Florida,136350,2007
Catalina,42 MK II,42,USA,Massachusetts,152850,2006
Catalina,Morgan 440,48,USA,Florida,227379,2004
Catalina,42 MK II,51,USA,New Jersey,157762,2006
Catalina,Morgan 440,38,Caribbean,Mexico,226173,2006
Catalina,Morgan 440,45,USA,Virginia,207836,2007
Catalina,470,41,USA,Virginia,299838,2005
Catalina,42 MK II,36,USA,California,170545,2006
Catalina,470,41,USA,Florida,292763,2005
Catalina,470,57,USA,Texas,238428,2007
Catalina,42 Mk II,38,Europe,Netherlands,197629,2009
Catalina,470,41,USA,California,313629,2010
Catalina,445,37,USA,California,218977,2008
Catalina,445,41,USA,Maryland,259614,2009
Catalina,375,39,Europe,Netherlands,170428,2010
Catalina,42 MK II,40,USA,Texas,181064,2009
Catalina,445,36,Europe,Italy,239287,2008
Catalina,385,39,USA,California,154995,2011
Catalina,445,40,Europe,Italy,264664,2010
Catalina,387,36,USA,Texas,179403,2013
Catalina,385,34,USA,North Carolina,212651,2011
Catalina,445,33,USA,Florida,310544,2013
Catalina,445,46,USA,Florida,296496,2013
Catalina,385,38,USA,California,220495,2014
Catalina,445,36,USA,Virginia,384531,2013
Catalina,425,36,USA,Virginia,315176,2015
Catalina,445,51,USA,New Jersey,409905,2015
Catalina,387,41,USA,Maryland,128109,2003
Catalina,42 MK II,42,Caribbean,Mexico,156479,2006
Catalina,42 Mk II,42,Europe,United Kingdom,116180,2003
Catalina,42 MK II,43,USA,Washington,153019,2003
Catalina,Morgan 440,50,USA,California,186248,2004
Catalina,Morgan 440,50,Caribbean,Grenada,163438,2001
Catalina,Morgan 440,46,USA,Washington,219859,2001
Catalina,387,36,USA,Maryland,142136,2004
Catalina,387,33,USA,North Carolina,175666,2006
Catalina,400 MK II,41,USA,Florida,136350,2007
Catalina,42 MK II,42,USA,Massachusetts,152850,2006
Catalina,Morgan 440,48,USA,Florida,227379,2004
Catalina,42 MK II,51,USA,New Jersey,157762,2006
Catalina,Morgan 440,38,Caribbean,Mexico,226173,2006
Catalina,Morgan 440,45,USA,Virginia,207836,2007
Catalina,470,41,USA,Virginia,299838,2005
Catalina,42 MK II,36,USA,California,170545,2006
Catalina,470,41,USA,Florida,292763,2005
Catalina,470,57,USA,Texas,238428,2007
Catalina,42 Mk II,38,Europe,Netherlands,197629,2009
Catalina,470,41,USA,California,313629,2010
Catalina,445,37,USA,California,218977,2008
Catalina,445,41,USA,Maryland,259614,2009
Catalina,375,39,Europe,Netherlands,170428,2010
Catalina,42 MK II,40,USA,Texas,181064,2009
Catalina,445,36,Europe,Italy,239287,2008
Catalina,385,39,USA,California,154995,2011
Catalina,445,40,Europe,Italy,264664,2010
Catalina,387,36,USA,Texas,179403,2013
Catalina,385,34,USA,North Carolina,212651,2011
Catalina,445,33,USA,Florida,310544,2013
Catalina,445,46,USA,Florida,296496,2013
Catalina,385,38,USA,California,220495,2014
Catalina,445,36,USA,Virginia,384531,2013
Catalina,425,36,USA,Virginia,315176,2015
Catalina,445,51,USA,New Jersey,409905,2015
