Make,Variant,Length,Geo,Origin,Price,Year
Comar,Comet 41S,40,Europe,Italy,129150,2002
Comar,Comet 45s,57,Europe,Italy,158739,2002
Comar,Comet 51S,52,Europe,Italy,209956,2006
Comar,Comet 52 RS,51,Europe,Italy,280115,2002
Comar,Comet 41S,38,Europe,Italy,145500,2003
Comar,Comet 41S,32,Europe,Italy,114927,2007
Comar,Comet 41S,37,Europe,Italy,118720,2005
Comar,Comet 41S,45,Europe,Italy,126303,2005
Comar,Comet 41S,37,Europe,Italy,90036,2007
Comar,Comet 41S,43,Europe,Portugal,144160,2007
Comar,Comet 45S,44,Europe,Italy,173302,2006
Comar,Comet 52 RS,54,Europe,Spain,295803,2007
Comar,Comet 52 RS,56,Europe,Spain,254215,2005
Comar,Comet 450,46,Europe,Croatia,114748,2009
Comar,Comet 45s,41,Europe,Croatia,106425,2006
Comar,Comet 45S,43,Europe,Spain,246423,2006
Comar,Comet 52 RS,47,Europe,Italy,288602,2007
Comar,Comet 41S,40,Europe,Italy,147173,2009
Comar,Comet 45s,45,Europe,Italy,193726,2008
Comar,Comet 45s,40,Europe,Italy,206999,2010
Comar,Comet 41S,40,Europe,Italy,129150,2002
Comar,Comet 45s,57,Europe,Italy,158739,2002
Comar,Comet 51S,52,Europe,Italy,209956,2006
Comar,Comet 52 RS,51,Europe,Italy,280115,2002
Comar,Comet 41S,38,Europe,Italy,145500,2003
Comar,Comet 41S,32,Europe,Italy,114927,2007
Comar,Comet 41S,37,Europe,Italy,118720,2005
Comar,Comet 41S,45,Europe,Italy,126303,2005
Comar,Comet 41S,37,Europe,Italy,90036,2007
Comar,Comet 41S,43,Europe,Portugal,144160,2007
Comar,Comet 45S,44,Europe,Italy,173302,2006
Comar,Comet 52 RS,54,Europe,Spain,295803,2007
Comar,Comet 52 RS,56,Europe,Spain,254215,2005
Comar,Comet 450,46,Europe,Croatia,114748,2009
Comar,Comet 45s,41,Europe,Croatia,106425,2006
Comar,Comet 45S,43,Europe,Spain,246423,2006
Comar,Comet 52 RS,47,Europe,Italy,288602,2007
Comar,Comet 41S,40,Europe,Italy,147173,2009
Comar,Comet 45s,45,Europe,Italy,193726,2008
Comar,Comet 45s,40,Europe,Italy,206999,2010
