Make,Variant,Length,Geo,Origin,Price,Year
Contest,50CS,51,Europe,Netherlands,544332,2005
Contest,55CS,46,Europe,Netherlands,558051,2005
Contest,45CS,49,Europe,Netherlands,529140,2010
Contest,45CS,44,Europe,Spain,418834,2007
Contest,42CS,45,Europe,Netherlands,611688,2012
Contest,42CS,47,Europe,Netherlands,682073,2015
Contest,50CS,51,Europe,Netherlands,544332,2005
Contest,55CS,46,Europe,Netherlands,558051,2005
Contest,45CS,49,Europe,Netherlands,529140,2010
Contest,45CS,44,Europe,Spain,418834,2007
Contest,42CS,45,Europe,Netherlands,611688,2012
Contest,42CS,47,Europe,Netherlands,682073,2015
