Make,Variant,Length,Geo,Origin,Price,Year
Dufour,385,32,Europe,Croatia,102173,2003
Dufour,385 GL,35,Caribbean,Netherlands Antilles,70629,2002
Dufour,385,33,Europe,Turkey,98115,2005
Dufour,40,39,Europe,France,89285,2003
Dufour,44,37,Europe,France,166624,2002
Dufour,44,46,Europe,Italy,137757,2002
Dufour,44 Performance,43,Europe,Italy,136878,2002
Dufour,455,41,Europe,France,150727,2002
Dufour,455 GL,43,Europe,Italy,137073,2005
Dufour,385 GL,34,Europe,France,91682,2005
Dufour,40 Performance,41,Europe,Spain,97599,2004
Dufour,44 Performance,50,Europe,Italy,128450,2003
Dufour,455,40,Europe,Greece,141002,2004
Dufour,455 GL,38,Europe,Greece,150837,2006
Dufour,455,42,Europe,Malta,147885,2007
Dufour,455 GL,53,Europe,Spain,158917,2006
Dufour,385,36,Caribbean,Antigua and Barbuda,85860,2008
Dufour,385 GL,38,Europe,Greece,92679,2008
Dufour,385 GL,33,Europe,Italy,107012,2004
Dufour,385 GL,35,Europe,Italy,87605,2005
Dufour,40 Performance,43,Europe,Italy,93406,2007
Dufour,40 Performance,33,Europe,Portugal,120324,2004
Dufour,455 GL,40,Europe,Denmark,151750,2005
Dufour,485 GL,46,Europe,Italy,224068,2005
Dufour,485 GL,45,Europe,Italy,191442,2006
Dufour,485 GL,45,Europe,Spain,191477,2003
Dufour,485,50,Europe,Spain,228651,2005
Dufour,485 GL,51,Europe,Spain,174397,2005
Dufour,525 GL,45,Europe,Spain,274963,2009
Dufour,425 GL,39,Europe,Italy,130666,2006
Dufour,455 GL,45,Europe,France,110799,2006
Dufour,455 GL,42,Europe,Malta,175405,2006
Dufour,455 GL,43,Europe,Spain,88201,2007
Dufour,485 GL,47,Europe,Italy,239980,2006
Dufour,485,42,Europe,Malta,224624,2008
Dufour,525 GL,50,Europe,France,247379,2007
Dufour,525 GL,52,Europe,France,217564,2004
Dufour,525 GL,44,Europe,Italy,358098,2009
Dufour,405 GL,39,Europe,France,125035,2007
Dufour,40 Performance,41,Europe,Greece,121690,2008
