Make,Variant,Length,Geo,Origin,Price,Year
Elan,Impression 434,57,Europe,Croatia,131799,2004
Elan,Impression 434,41,Europe,Croatia,86663,2003
Elan,Impression 384,41,Europe,Croatia,113939,2003
Elan,Impression 384,33,Europe,Croatia,88291,2006
Elan,Impression 384,40,Europe,Croatia,69468,2005
Elan,Impression 384,29,Europe,Croatia,63205,2001
Elan,434 Impression,41,Europe,Croatia,114063,2006
Elan,Impression 434,43,Europe,Malta,187835,2007
Elan,Impression 434,41,Europe,Spain,125246,2004
Elan,Impression 434,46,Europe,Spain,112501,2003
Elan,Impression 434,41,Europe,Sweden,199566,2003
Elan,410,39,Europe,Croatia,103105,2004
Elan,434 Impression,45,Europe,Croatia,97385,2004
Elan,Impression 434,39,Europe,Croatia,83751,2007
Elan,Impression 434,44,Europe,Malta,139468,2006
Elan,Impression 434,36,Europe,Spain,195292,2005
Elan,Impression 434,39,Europe,Spain,187081,2005
Elan,Impression 434,45,Europe,Spain,152267,2002
Elan,514 IMPRESSION,51,Europe,Croatia,212898,2003
Elan,410,40,Europe,Greece,104863,2009
Elan,450,43,Europe,Croatia,243481,2007
Elan,450,46,Europe,Croatia,198088,2006
Elan,450,35,Europe,Croatia,195753,2006
Elan,450,43,Europe,Croatia,182837,2006
Elan,450,47,Europe,Croatia,154718,2006
Elan,Impression 434,46,Europe,Croatia,90093,2007
Elan,450,46,Europe,Italy,158501,2006
Elan,514 IMPRESSION,57,Europe,Croatia,137650,2007
Elan,Impression 434,40,Europe,Croatia,95119,2005
Elan,Impression 434,38,Europe,United Kingdom,178565,2009
Elan,Impression 384,39,Europe,Croatia,111588,2008
Elan,Impression 434,41,Europe,Croatia,128115,2007
Elan,450,42,Europe,France,243677,2007
Elan,Impression 434,44,Europe,Turkey,173008,2007
Elan,444 Impression,33,Europe,Croatia,151838,2009
Elan,444 Impression,41,Europe,Greece,124191,2010
Elan,IMPRESSION 394,36,Europe,Croatia,148619,2010
Elan,444 Impression,41,Europe,Croatia,102818,2009
Elan,450,50,USA,Connecticut,307332,2012
Elan,450,41,Europe,Croatia,234522,2011
Elan,Impression 444,39,Europe,Croatia,118083,2012
Elan,444 Impression,50,Europe,Croatia,103516,2012
Elan,444 Impression,49,Europe,Croatia,138648,2010
Elan,Impression 494,51,Europe,Croatia,151031,2012
Elan,494 Impression,44,Europe,Croatia,165924,2012
Elan,Impression 494,51,Europe,Croatia,132694,2013
Elan,394 Impression,37,Europe,Croatia,101408,2013
Elan,444 Impression,39,Europe,Spain,136938,2014
Elan,494 Impression,46,Europe,Croatia,174651,2013
Elan,40 Impression,33,Europe,Croatia,148148,2014
Elan,Impression 40,37,Europe,Turkey,175552,2015
Elan,Impression 45,37,Europe,Croatia,183400,2015
Elan,45 Impression,39,Europe,Croatia,187978,2013
Elan,45 Impression,40,Europe,Croatia,177621,2015
Elan,45 Impression,44,Europe,Croatia,121119,2014
Elan,45 Impression,41,Europe,Croatia,149328,2014
Elan,45 Impression,42,Europe,Greece,161970,2014
Elan,50 Impression,47,Europe,Croatia,221154,2013
Elan,Impression 50,46,Europe,Croatia,166399,2014
Elan,50 Impression,51,Europe,Croatia,186444,2012
Elan,50 Impression,49,Europe,Greece,242568,2013
Elan,Impression 40,34,Europe,Croatia,161155,2015
Elan,40 Impression ,37,Europe,Croatia,154021,2014
Elan,Impression 40,40,USA,Georgia,219510,2014
Elan,Impression 45,41,Europe,Croatia,154674,2016
Elan,45 Impression,42,Europe,Croatia,155267,2014
Elan,45 Impression,44,Europe,Croatia,157755,2015
Elan,Impression 45,40,Europe,Turkey,217258,2013
Elan,Impression 40,39,Europe,Croatia,222257,2015
Elan,40 Impression,39,Europe,Croatia,155788,2016
Elan,40 E5,38,Europe,Italy,188852,2017
Elan,45 Impression,45,Europe,Croatia,216777,2015
Elan,Impression 45,43,Europe,Croatia,158270,2015
Elan,45 Impression ,46,Europe,Croatia,199210,2016
Elan,Impression 45,35,Europe,Slovenia,193656,2017
Elan,Impression 50,54,Europe,Croatia,237684,2016
Elan,50,45,Europe,Croatia,280543,2015
Elan,50 Impression,46,Europe,Croatia,254949,2015
Elan,Impression 50,56,Europe,Croatia,274443,2016
Elan,50 Impression,43,Europe,Croatia,304190,2014
Elan,Impression 50,42,Europe,Croatia,217806,2016
Elan,40 Impression,37,Europe,Croatia,166237,2016
Elan,GT5,46,Europe,Malta,352689,2017
Elan,Impression 45,49,USA,Florida,335145,2018
Elan,Impression 45,50,Europe,Greece,230561,2017
Elan,50 Impression,50,Europe,Croatia,249656,2015
Elan,40 Impression,37,Europe,Croatia,170814,2018
Elan,40 Impression,37,Europe,Croatia,181183,2016
Elan,50,43,Europe,Croatia,357615,2016
Elan,Impression 434,57,Europe,Croatia,131799,2004
Elan,Impression 434,41,Europe,Croatia,86663,2003
Elan,Impression 384,41,Europe,Croatia,113939,2003
Elan,Impression 384,33,Europe,Croatia,88291,2006
Elan,Impression 384,40,Europe,Croatia,69468,2005
Elan,Impression 384,29,Europe,Croatia,63205,2001
Elan,434 Impression,41,Europe,Croatia,114063,2006
Elan,Impression 434,43,Europe,Malta,187835,2007
