Make,Variant,Length,Geo,Origin,Price,Year
Grand Soleil,43,50,Europe,France,188785,2004
Grand Soleil,45 RACING,45,Europe,France,214566,2003
Grand Soleil,50,47,Caribbean,Grenada,279373,2002
Grand Soleil,50,49,Europe,United Kingdom,236040,2004
Grand Soleil,40,39,Europe,Italy,149511,2001
Grand Soleil,40,41,Europe,Italy,88413,2005
Grand Soleil,43,41,Europe,Greece,161694,2005
Grand Soleil,45,50,Europe,Italy,157924,2005
Grand Soleil,45,47,Europe,Italy,151220,2002
Grand Soleil,45,50,Europe,Italy,168740,2008
Grand Soleil,45,37,Europe,Turkey,171170,2007
Grand Soleil,45,39,Europe,Turkey,168302,2003
Grand Soleil,50,54,Caribbean,Antigua and Barbuda,279601,2004
Grand Soleil,50,46,Europe,Italy,197553,2005
Grand Soleil,40,34,Europe,Greece,109679,2002
Grand Soleil,40,35,Europe,Turkey,86323,2007
Grand Soleil,43 BC,44,Europe,Italy,205507,2006
Grand Soleil,43,43,Europe,Turkey,236476,2004
Grand Soleil,45,40,Europe,France,185703,2008
Grand Soleil,45,44,Europe,Italy,259878,2006
Grand Soleil,45,52,Europe,Turkey,189149,2006
Grand Soleil,50,53,Europe,Croatia,294130,2006
Grand Soleil,50,40,Europe,Croatia,245644,2006
Grand Soleil,50,44,Europe,France,305002,2004
Grand Soleil,50,43,Europe,Greece,301313,2007
Grand Soleil,50,50,Europe,Italy,273549,2003
Grand Soleil,50,40,Europe,Spain,283918,2009
Grand Soleil,54,50,Europe,Spain,416821,2006
Grand Soleil,56,48,Europe,Italy,449582,2007
Grand Soleil,56,56,Europe,Italy,483952,2008
Grand Soleil,43,41,Europe,France,241026,2005
Grand Soleil,43,41,Europe,France,258970,2006
Grand Soleil,43,50,Europe,United Kingdom,122848,2008
Grand Soleil,45,42,Europe,Italy,252874,2006
Grand Soleil,50,49,Caribbean,Grenada,208336,2005
Grand Soleil,54,58,Europe,France,547911,2007
Grand Soleil,54,52,Europe,Italy,370214,2007
Grand Soleil,56,52,Europe,United Kingdom,323468,2005
Grand Soleil,37 B&C,37,Europe,France,149778,2003
Grand Soleil,40 B&C,42,Europe,Italy,170159,2006
Grand Soleil,46 Jezequel,41,Europe,Italy,207430,2007
Grand Soleil,48 Ocean Cruiser,46,Europe,Italy,207308,2009
Grand Soleil,46,44,Europe,France,298711,2010
Grand Soleil,50,54,Europe,Italy,534841,2008
Grand Soleil,43,33,Europe,Germany,280966,2009
Grand Soleil,46,46,Europe,Italy,270982,2009
Grand Soleil,46,54,Europe,Turkey,306504,2010
Grand Soleil,54,51,Europe,Croatia,468641,2010
Grand Soleil,56 EXTREME,52,Europe,Italy,570827,2009
Grand Soleil,56,45,Europe,Italy,442524,2009
Grand Soleil,39,32,Europe,France,286476,2010
Grand Soleil,39,36,Caribbean,Trinidad and Tobago,218369,2011
Grand Soleil,50,55,Europe,France,421984,2012
Grand Soleil,50,45,Europe,France,382439,2010
Grand Soleil,50,50,Europe,Jersey,403090,2010
Grand Soleil,39,39,Europe,Croatia,182117,2012
Grand Soleil,39,40,Europe,Croatia,126443,2011
Grand Soleil,39,41,Europe,Italy,248709,2012
Grand Soleil,47,48,Europe,Sweden,532028,2013
Grand Soleil,46 LC,46,Europe,Italy,648483,2012
Grand Soleil,46 LC,45,Europe,Spain,492275,2014
Grand Soleil,54,47,Europe,Italy,637438,2015
Grand Soleil,43 Maletto - GS 43,44,Europe,Italy,377659,2015
Grand Soleil,46 LC,39,Europe,Italy,535796,2015
Grand Soleil,43 Maletto,39,Europe,Italy,358838,2016
Grand Soleil,43,50,Europe,France,188785,2004
Grand Soleil,45 RACING,45,Europe,France,214566,2003
Grand Soleil,50,47,Caribbean,Grenada,279373,2002
Grand Soleil,50,49,Europe,United Kingdom,236040,2004
Grand Soleil,40,39,Europe,Italy,149511,2001
Grand Soleil,40,41,Europe,Italy,88413,2005
Grand Soleil,43,41,Europe,Greece,161694,2005
Grand Soleil,45,50,Europe,Italy,157924,2005
Grand Soleil,45,47,Europe,Italy,151220,2002
Grand Soleil,45,50,Europe,Italy,168740,2008
Grand Soleil,45,37,Europe,Turkey,171170,2007
Grand Soleil,45,39,Europe,Turkey,168302,2003
Grand Soleil,50,54,Caribbean,Antigua and Barbuda,279601,2004
Grand Soleil,50,46,Europe,Italy,197553,2005
Grand Soleil,40,34,Europe,Greece,109679,2002
Grand Soleil,40,35,Europe,Turkey,86323,2007
Grand Soleil,43 BC,44,Europe,Italy,205507,2006
Grand Soleil,43,43,Europe,Turkey,236476,2004
Grand Soleil,45,40,Europe,France,185703,2008
Grand Soleil,45,44,Europe,Italy,259878,2006
Grand Soleil,45,52,Europe,Turkey,189149,2006
Grand Soleil,50,53,Europe,Croatia,294130,2006
Grand Soleil,50,40,Europe,Croatia,245644,2006
Grand Soleil,50,44,Europe,France,305002,2004
Grand Soleil,50,43,Europe,Greece,301313,2007
Grand Soleil,50,50,Europe,Italy,273549,2003
Grand Soleil,50,40,Europe,Spain,283918,2009
Grand Soleil,54,50,Europe,Spain,416821,2006
Grand Soleil,56,48,Europe,Italy,449582,2007
Grand Soleil,56,56,Europe,Italy,483952,2008
Grand Soleil,43,41,Europe,France,241026,2005
Grand Soleil,43,41,Europe,France,258970,2006
Grand Soleil,43,50,Europe,United Kingdom,122848,2008
Grand Soleil,45,42,Europe,Italy,252874,2006
Grand Soleil,50,49,Caribbean,Grenada,208336,2005
Grand Soleil,54,58,Europe,France,547911,2007
Grand Soleil,54,52,Europe,Italy,370214,2007
Grand Soleil,56,52,Europe,United Kingdom,323468,2005
Grand Soleil,37 B&C,37,Europe,France,149778,2003
Grand Soleil,40 B&C,42,Europe,Italy,170159,2006
Grand Soleil,46 Jezequel,41,Europe,Italy,207430,2007
Grand Soleil,48 Ocean Cruiser,46,Europe,Italy,207308,2009
Grand Soleil,46,44,Europe,France,298711,2010
Grand Soleil,50,54,Europe,Italy,534841,2008
Grand Soleil,43,33,Europe,Germany,280966,2009
Grand Soleil,46,46,Europe,Italy,270982,2009
Grand Soleil,46,54,Europe,Turkey,306504,2010
Grand Soleil,54,51,Europe,Croatia,468641,2010
Grand Soleil,56 EXTREME,52,Europe,Italy,570827,2009
Grand Soleil,56,45,Europe,Italy,442524,2009
Grand Soleil,39,32,Europe,France,286476,2010
Grand Soleil,39,36,Caribbean,Trinidad and Tobago,218369,2011
Grand Soleil,50,55,Europe,France,421984,2012
Grand Soleil,50,45,Europe,France,382439,2010
Grand Soleil,50,50,Europe,Jersey,403090,2010
Grand Soleil,39,39,Europe,Croatia,182117,2012
Grand Soleil,39,40,Europe,Croatia,126443,2011
Grand Soleil,39,41,Europe,Italy,248709,2012
Grand Soleil,47,48,Europe,Sweden,532028,2013
Grand Soleil,46 LC,46,Europe,Italy,648483,2012
Grand Soleil,46 LC,45,Europe,Spain,492275,2014
Grand Soleil,54,47,Europe,Italy,637438,2015
Grand Soleil,43 Maletto - GS 43,44,Europe,Italy,377659,2015
Grand Soleil,46 LC,39,Europe,Italy,535796,2015
Grand Soleil,43 Maletto,39,Europe,Italy,358838,2016
