Make,Variant,Length,Geo,Origin,Price,Year
Hallberg-Rassy,40,40,Europe,United Kingdom,302399,2004
Hallberg-Rassy,43,48,Europe,Greece,351222,2002
Hallberg-Rassy,40,38,Europe,Denmark,447187,2004
Hallberg-Rassy,54,58,Europe,Italy,910791,2008
Hallberg-Rassy,40,40,Europe,Cyprus,337556,2005
Hallberg-Rassy,40,39,USA,Maryland,262563,2007
Hallberg-Rassy,43,39,USA,Maryland,340984,2009
Hallberg-Rassy,54,51,Europe,Netherlands,1004211,2006
Hallberg-Rassy,54,57,Europe,Croatia,997672,2008
Hallberg-Rassy,54,49,Europe,Spain,1084150,2007
Hallberg-Rassy,48,47,Europe,Sweden,714165,2010
Hallberg-Rassy,54,57,Europe,Greece,1100583,2012
Hallberg-Rassy,412,41,Europe,Spain,492388,2012
Hallberg-Rassy,412,32,Europe,Sweden,561532,2014
Hallberg-Rassy,44,50,Europe,Turkey,792161,2016
Hallberg-Rassy,40,40,Europe,United Kingdom,302399,2004
Hallberg-Rassy,43,48,Europe,Greece,351222,2002
Hallberg-Rassy,40,38,Europe,Denmark,447187,2004
Hallberg-Rassy,54,58,Europe,Italy,910791,2008
Hallberg-Rassy,40,40,Europe,Cyprus,337556,2005
Hallberg-Rassy,40,39,USA,Maryland,262563,2007
Hallberg-Rassy,43,39,USA,Maryland,340984,2009
Hallberg-Rassy,54,51,Europe,Netherlands,1004211,2006
Hallberg-Rassy,54,57,Europe,Croatia,997672,2008
Hallberg-Rassy,54,49,Europe,Spain,1084150,2007
Hallberg-Rassy,48,47,Europe,Sweden,714165,2010
Hallberg-Rassy,54,57,Europe,Greece,1100583,2012
Hallberg-Rassy,412,41,Europe,Spain,492388,2012
Hallberg-Rassy,412,32,Europe,Sweden,561532,2014
Hallberg-Rassy,44,50,Europe,Turkey,792161,2016
