Make,Variant,Length,Geo,Origin,Price,Year
Hanse,411,42,Europe,Greece,100787,2005
Hanse,411,45,Europe,Italy,133869,2005
Hanse,411,31,Europe,Italy,112051,2003
Hanse,411,37,Europe,Italy,82407,2003
Hanse,411,43,Europe,United Kingdom,92003,2002
Hanse,461,53,Europe,France,283732,2004
Hanse,461,39,Europe,Germany,128342,2001
Hanse,461,48,Europe,Spain,208717,2002
Hanse,461,44,Europe,Spain,137687,2002
Hanse,531,51,Europe,Estonia,256707,2005
Hanse,531,50,Europe,Ireland,189595,2003
Hanse,531,50,Europe,Spain,400776,2002
Hanse,531,48,Europe,Spain,330277,2003
Hanse,400,39,Europe,France,110274,2003
Hanse,400,40,Europe,Greece,105512,2003
Hanse,400e,33,Europe,Italy,85653,2004
Hanse,400e,42,Europe,Netherlands,139393,2001
Hanse,400,39,Europe,Netherlands,133665,2005
Hanse,411,40,Europe,Spain,110277,2006
Hanse,461,43,Europe,France,225226,2005
Hanse,461,40,Europe,Italy,187590,2002
Hanse,461,45,Europe,Italy,175312,2006
Hanse,461,41,Europe,Italy,139947,2006
Hanse,461,43,Europe,Italy,120144,2006
Hanse,470e,50,Europe,Denmark,172891,2005
Hanse,540e,57,Europe,Spain,277600,2001
Hanse,531,57,Europe,Ireland,155929,2007
Hanse,531,52,Europe,Ireland,158339,2006
Hanse,400,37,Europe,Estonia,122128,2005
Hanse,400,34,Europe,Italy,82532,2005
Hanse,400,34,Europe,Spain,114113,2005
Hanse,400,36,Europe,Spain,99378,2006
Hanse,400,36,Europe,Spain,104684,2005
Hanse,430e,41,Europe,France,115505,2005
Hanse,430e,41,Europe,France,124018,2008
Hanse,430e,41,Europe,Germany,125408,2007
Hanse,430e,34,Caribbean,Martinique,148932,2007
Hanse,430,40,Europe,Spain,157316,2006
Hanse,470e,40,Europe,France,225534,2008
Hanse,470e,44,Europe,France,178970,2005
Hanse,470,50,Europe,Germany,212826,2006
Hanse,470e,41,Europe,Germany,230720,2006
Hanse,470e,46,Europe,Netherlands,173116,2004
Hanse,540,53,Europe,Denmark,239018,2006
Hanse,540,51,Europe,Italy,209813,2008
Hanse,540e,47,Europe,United Kingdom,209831,2003
Hanse,400e,36,Europe,Croatia,149721,2005
Hanse,400 Epoxy,37,Europe,Greece,129865,2007
Hanse,400,39,Europe,Spain,100855,2006
Hanse,400,41,Europe,Spain,121075,2005
Hanse,430e,41,Europe,Croatia,133881,2002
Hanse,430e,38,Europe,Greece,140249,2008
Hanse,430e,47,Europe,Greece,136189,2006
Hanse,470e,48,USA,Connecticut,249439,2004
Hanse,470e,46,Europe,France,207964,2005
Hanse,470e,40,Europe,France,209978,2007
Hanse,540e,49,USA,California,434272,2007
Hanse,540e,52,Europe,Croatia,235191,2006
Hanse,540e,43,Europe,Germany,269877,2007
Hanse,540e,54,Europe,Greece,201192,2006
Hanse,540e,47,Europe,Greece,238179,2006
Hanse,540,53,Europe,Greece,233354,2002
Hanse,540e,55,Europe,Italy,293054,2006
Hanse,540e,50,Europe,Italy,316605,2009
Hanse, 540e,53,Caribbean,Mexico,272167,2006
Hanse,400,35,Europe,Italy,97530,2008
Hanse,430,40,Europe,Italy,150522,2008
