Make,Variant,Length,Geo,Origin,Price,Year
Island Packet,370,41,USA,Florida,150178,2006
Island Packet,420,48,USA,Florida,276585,2004
Island Packet,420,38,Europe,United Kingdom,283193,2003
Island Packet,440,54,USA,Florida,362515,2004
Island Packet,445,44,Europe,Gibraltar,332545,2003
Island Packet,445,41,Europe,Gibraltar,275704,2004
Island Packet,440,39,Europe,Netherlands,396031,2006
Island Packet,440,48,Europe,Netherlands,330091,2004
Island Packet,485,50,Europe,Netherlands,558824,2002
Island Packet,SP Cruiser,36,USA,Maryland,261134,2005
Island Packet,SP Cruiser,40,USA,Wisconsin,207000,2004
Island Packet,465,48,Europe,Spain,365526,2004
Island Packet,485,61,USA,California,487183,2004
Island Packet,440,42,Europe,Netherlands,301528,2006
Island Packet,440,44,Europe,United Kingdom,305226,2005
Island Packet,465,52,Caribbean,Grenada,303078,2007
Island Packet,485,57,Europe,Germany,651658,2008
Island Packet,SP Cruiser,41,USA,Rhode Island,292881,2008
Island Packet,465,52,USA,Maryland,474601,2010
Island Packet,370,41,USA,Florida,150178,2006
Island Packet,420,48,USA,Florida,276585,2004
Island Packet,420,38,Europe,United Kingdom,283193,2003
Island Packet,440,54,USA,Florida,362515,2004
Island Packet,445,44,Europe,Gibraltar,332545,2003
Island Packet,445,41,Europe,Gibraltar,275704,2004
Island Packet,440,39,Europe,Netherlands,396031,2006
Island Packet,440,48,Europe,Netherlands,330091,2004
Island Packet,485,50,Europe,Netherlands,558824,2002
Island Packet,SP Cruiser,36,USA,Maryland,261134,2005
Island Packet,SP Cruiser,40,USA,Wisconsin,207000,2004
Island Packet,465,48,Europe,Spain,365526,2004
Island Packet,485,61,USA,California,487183,2004
Island Packet,440,42,Europe,Netherlands,301528,2006
Island Packet,440,44,Europe,United Kingdom,305226,2005
Island Packet,465,52,Caribbean,Grenada,303078,2007
Island Packet,485,57,Europe,Germany,651658,2008
Island Packet,SP Cruiser,41,USA,Rhode Island,292881,2008
Island Packet,465,52,USA,Maryland,474601,2010
