Make,Variant,Length,Geo,Origin,Price,Year
Jeanneau ,Sun Odyssey 49,41,Caribbean,Martinique,129407,2000
Jeanneau ,Sun Odyssey 50 DS,52,Caribbean,Grenada,247743,2007
Jeanneau ,Sun Odyssey 50 DS,52,Caribbean,Martinique,276256,2006
Jeanneau ,Sun Odyssey 49i,42,Caribbean,Saint Vincent and the Grenadines,107246,2008
Jeanneau ,Sun Odyssey 469,45,Caribbean,Antigua and Barbuda,187179,2012
Jeanneau ,Sun Odyssey 469,45,Caribbean,Sint Maarten (Dutch part),298662,2014
Jeanneau ,Sun Odyssey 509,42,Caribbean,British Virgin Islands,171298,2013
Jeanneau ,Sun Odyssey 509,41,Caribbean,British Virgin Islands,164803,2013
Jeanneau ,Sun Odyssey 479,46,Caribbean,British Virgin Islands,206057,2015
Jeanneau ,Sun Odyssey 519,50,Caribbean,British Virgin Islands,238128,2015
Jeanneau ,Sun Odyssey 519,58,Caribbean,Grenada,413343,2015
Jeanneau ,Sun Odyssey 49,41,Caribbean,Martinique,129407,2000
Jeanneau ,Sun Odyssey 50 DS,52,Caribbean,Grenada,247743,2007
Jeanneau ,Sun Odyssey 50 DS,52,Caribbean,Martinique,276256,2006
Jeanneau ,Sun Odyssey 49i,42,Caribbean,Saint Vincent and the Grenadines,107246,2008
Jeanneau ,Sun Odyssey 469,45,Caribbean,Antigua and Barbuda,187179,2012
Jeanneau ,Sun Odyssey 469,45,Caribbean,Sint Maarten (Dutch part),298662,2014
Jeanneau ,Sun Odyssey 509,42,Caribbean,British Virgin Islands,171298,2013
Jeanneau ,Sun Odyssey 509,41,Caribbean,British Virgin Islands,164803,2013
Jeanneau ,Sun Odyssey 479,46,Caribbean,British Virgin Islands,206057,2015
Jeanneau ,Sun Odyssey 519,50,Caribbean,British Virgin Islands,238128,2015
Jeanneau ,Sun Odyssey 519,58,Caribbean,Grenada,413343,2015
