Make,Variant,Length,Geo,Origin,Price,Year
Jeanneau,Sun Odyssey 40.3,34,Europe,Greece,86166,2000
Jeanneau,Sun Odyssey 40.3,37,USA,Illinois,118445,2002
Jeanneau,Sun Odyssey 40.3,35,USA,Illinois,113583,2000
Jeanneau,Sun Odyssey 40,42,Europe,Italy,102730,2005
Jeanneau,Sun Odyssey 40.3,37,USA,Michigan,133400,2006
Jeanneau,Sun Odyssey 40.3,31,USA,New York,123346,2003
Jeanneau,SUN ODYSSEY 40.3,43,Europe,Spain,129241,2001
Jeanneau,Sun Odyssey 43 DS,42,USA,New York,164213,2006
Jeanneau,Sun Odyssey 43 DS,33,USA,Rhode Island,135966,2001
Jeanneau,Sun Odyssey 45,47,Europe,Croatia,226042,2005
Jeanneau,Sun Odyssey 45,40,Europe,Croatia,117233,2004
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,93589,2002
Jeanneau,Sun Odyssey 45,47,Europe,Croatia,89558,2002
Jeanneau,Sun Odyssey 45,45,Europe,France,158812,2005
Jeanneau,Sun Odyssey 49 DS,52,USA,California,358527,2004
Jeanneau,Sun Odyssey 49 DS,53,Europe,Croatia,183151,2001
Jeanneau,Sun Odyssey 49 DS,54,Europe,France,248712,2005
Jeanneau,Sun Odyssey 49,44,Europe,France,162538,2001
Jeanneau,Sun Odyssey 49,49,Europe,Greece,179898,2004
Jeanneau,Sun Odyssey 49,45,Europe,Greece,161874,2003
Jeanneau,Sun Odyssey 49,50,Europe,Greece,125329,2003
Jeanneau,Sun Odyssey 49,42,Europe,Italy,146576,2004
Jeanneau,Sun Odyssey 49,46,Europe,Spain,271469,2002
Jeanneau,Sun Odyssey 49,51,Europe,Spain,155073,2002
Jeanneau,Sun Odyssey 49,50,Europe,Turkey,182629,2004
Jeanneau,Sun Odyssey 49,41,USA,Washington,308742,2004
Jeanneau,Sun Odyssey 54 DS,57,Europe,Greece,220583,2002
Jeanneau,Sun Odyssey 54 DS,54,Europe,Italy,239813,2002
Jeanneau,Sun Odyssey 54 DS,55,Europe,Italy,217793,2004
Jeanneau,Sun Odyssey 54 DS,54,Europe,Portugal,277291,2002
Jeanneau,Sun Odyssey 54 DS,56,Europe,Spain,331153,2008
Jeanneau,Sun Odyssey 54 DS,58,Europe,Spain,338825,2003
Jeanneau,Sun Odyssey 54 DS,55,Europe,Spain,269617,2007
Jeanneau,Sun Odyssey 40.3,45,Europe,Croatia,111847,2006
Jeanneau,Sun Odyssey 40.3,43,Europe,Croatia,83811,2005
Jeanneau,Sun Odyssey 40.3,41,USA,Illinois,113757,2004
Jeanneau,Sun Odyssey 40.3,47,Europe,Italy,125794,2005
Jeanneau,Sun Odyssey 40.3,29,Europe,Italy,97317,2004
Jeanneau,Sun Odyssey 40.3,38,USA,Rhode Island,105507,2005
Jeanneau,Sun Odyssey 40.3,37,Europe,United Kingdom,106465,2007
Jeanneau,Sun Odyssey 42 DS,43,Caribbean,Mexico,190841,2005
Jeanneau,Sun Odyssey 42 DS,35,USA,Rhode Island,164493,2005
Jeanneau,Sun Odyssey 42 DS,37,Europe,Spain,131472,2005
Jeanneau,Sun Odyssey 43 DS,40,USA,Washington,214705,2004
Jeanneau,Sun Odyssey 45,45,Europe,Croatia,168068,2003
Jeanneau,Sun Odyssey 45,39,Europe,Croatia,123801,2005
