Make,Variant,Length,Geo,Origin,Price,Year
Malo,43 Classic,42,Europe,Netherlands,389777,2002
Malo,46,37,Europe,United Kingdom,382646,2004
Malo,40 Classic MK Il,37,Europe,Italy,457174,2007
Malo,40,39,Europe,United Kingdom,311120,2007
Malo,40 classic,44,Europe,Sweden,333519,2006
Malo,40,38,Europe,United Kingdom,334806,2008
Malo,43 Classic,42,Europe,Netherlands,389777,2002
Malo,46,37,Europe,United Kingdom,382646,2004
Malo,40 Classic MK Il,37,Europe,Italy,457174,2007
Malo,40,39,Europe,United Kingdom,311120,2007
Malo,40 classic,44,Europe,Sweden,333519,2006
Malo,40,38,Europe,United Kingdom,334806,2008
