Make,Variant,Length,Geo,Origin,Price,Year
Moody,49,40,Europe,Spain,373409,2003
Moody,45 DS,47,Europe,Greece,368015,2009
Moody,45 Classic,53,Europe,Germany,330605,2006
Moody,45 DS e,40,Europe,Greece,352450,2007
Moody,45 DS,46,Europe,Spain,332506,2010
Moody,45 DS,50,Europe,Spain,393404,2009
Moody,45 Classic,41,USA,Connecticut,306597,2013
Moody,54,62,USA,California,952276,2014
Moody,49,40,Europe,Spain,373409,2003
Moody,45 DS,47,Europe,Greece,368015,2009
Moody,45 Classic,53,Europe,Germany,330605,2006
Moody,45 DS e,40,Europe,Greece,352450,2007
Moody,45 DS,46,Europe,Spain,332506,2010
Moody,45 DS,50,Europe,Spain,393404,2009
Moody,45 Classic,41,USA,Connecticut,306597,2013
Moody,54,62,USA,California,952276,2014
