Make,Variant,Length,Geo,Origin,Price,Year
Nauticat,385,37,Europe,Spain,346624,2003
Nauticat,44,47,Europe,Denmark,369334,2004
Nauticat,441 Ketch,40,Europe,Bulgaria,416058,2009
Nauticat,441,47,Europe,Turkey,572475,2009
Nauticat,441,37,Europe,Norway,535136,2007
Nauticat,42,40,Europe,Spain,415423,2012
Nauticat,385,37,Europe,Spain,346624,2003
Nauticat,44,47,Europe,Denmark,369334,2004
Nauticat,441 Ketch,40,Europe,Bulgaria,416058,2009
Nauticat,441,47,Europe,Turkey,572475,2009
Nauticat,441,37,Europe,Norway,535136,2007
Nauticat,42,40,Europe,Spain,415423,2012
