Make,Variant,Length,Geo,Origin,Price,Year
Oyster,46,40,USA,Rhode Island,478645,2003
Oyster,53,53,Europe,United Kingdom,545099,2007
Oyster,54,51,Europe,Gibraltar,679859,2008
Oyster,54,60,Europe,United Kingdom,794400,2007
Oyster,54,53,USA,Maryland,642082,2008
Oyster,54,56,Europe,Spain,876907,2009
Oyster,475,50,USA,Rhode Island,743371,2014
Oyster,545,55,Europe,United Kingdom,1317334,2014
Oyster,475,53,USA,South Carolina,871402,2016
Oyster,46,40,USA,Rhode Island,478645,2003
Oyster,53,53,Europe,United Kingdom,545099,2007
Oyster,54,51,Europe,Gibraltar,679859,2008
Oyster,54,60,Europe,United Kingdom,794400,2007
Oyster,54,53,USA,Maryland,642082,2008
Oyster,54,56,Europe,Spain,876907,2009
Oyster,475,50,USA,Rhode Island,743371,2014
Oyster,545,55,Europe,United Kingdom,1317334,2014
Oyster,475,53,USA,South Carolina,871402,2016
