Make,Variant,Length,Geo,Origin,Price,Year
Passport,470,47,USA,Maryland,505255,2005
Passport,Vista 515 Center Cockpit,55,USA,Maryland,737674,2003
Passport,470 Center Cockpit,45,USA,Michigan,519177,2006
Passport,470 Center Cockpit,43,USA,Maryland,552789,2008
Passport,Vista 545 Center Cockpit,54,USA,Maryland,1006612,2012
Passport,Vista 545 Center Cockpit,45,USA,Washington,1001936,2013
Passport,545 Aft Cockpit,60,USA,Maryland,911994,2013
Passport,470,47,USA,Maryland,505255,2005
Passport,Vista 515 Center Cockpit,55,USA,Maryland,737674,2003
Passport,470 Center Cockpit,45,USA,Michigan,519177,2006
Passport,470 Center Cockpit,43,USA,Maryland,552789,2008
Passport,Vista 545 Center Cockpit,54,USA,Maryland,1006612,2012
Passport,Vista 545 Center Cockpit,45,USA,Washington,1001936,2013
Passport,545 Aft Cockpit,60,USA,Maryland,911994,2013
