Make,Variant,Length,Geo,Origin,Price,Year
Poncin,HARMONY 47,47,Europe,Greece,83792,2002
Poncin,HARMONY 47,52,Europe,France,157151,2005
Poncin,harmony 52,52,Europe,Croatia,88358,2009
Poncin,harmony 52,53,Europe,Greece,117081,2006
Poncin,harmony 52,57,Europe,Croatia,89779,2007
Poncin,HARMONY 47,47,Europe,Greece,83792,2002
Poncin,HARMONY 47,52,Europe,France,157151,2005
Poncin,harmony 52,52,Europe,Croatia,88358,2009
Poncin,harmony 52,53,Europe,Greece,117081,2006
Poncin,harmony 52,57,Europe,Croatia,89779,2007
