Make,Variant,Length,Geo,Origin,Price,Year
RM Yachts,RM 1200,38,Europe,Italy,156537,2007
RM Yachts,rm 12.60,43,Europe,France,322751,2011
RM Yachts,rm 12.60,42,Europe,France,301691,2012
RM Yachts,1260,38,Europe,France,361239,2013
RM Yachts,RM 12.70,43,Europe,France,392351,2018
RM Yachts,RM 1270,35,Europe,France,413384,2018
RM Yachts,RM 1200,38,Europe,Italy,156537,2007
RM Yachts,rm 12.60,43,Europe,France,322751,2011
RM Yachts,rm 12.60,42,Europe,France,301691,2012
RM Yachts,1260,38,Europe,France,361239,2013
RM Yachts,RM 12.70,43,Europe,France,392351,2018
RM Yachts,RM 1270,35,Europe,France,413384,2018
