Make,Variant,Length,Geo,Origin,Price,Year
Sabre,386,33,USA,New York,201890,2003
Sabre,426,40,USA,Florida,304689,2003
Sabre,426,34,USA,Maryland,326540,2006
Sabre,426,40,USA,California,271884,2005
Sabre,426,42,USA,Connecticut,413624,2008
Sabre,456 MK II,47,USA,California,427556,2009
Sabre,386,33,USA,New York,201890,2003
Sabre,426,40,USA,Florida,304689,2003
Sabre,426,34,USA,Maryland,326540,2006
Sabre,426,40,USA,California,271884,2005
Sabre,426,42,USA,Connecticut,413624,2008
Sabre,456 MK II,47,USA,California,427556,2009
