Make,Variant,Length,Geo,Origin,Price,Year
Salona,40,39,Europe,Greece,108464,2001
Salona,45,47,Europe,Croatia,104430,2001
Salona,45,42,Europe,Croatia,88661,2006
Salona,45,44,Europe,Cyprus,116973,2000
Salona,45,44,Europe,Italy,104078,2002
Salona,45,39,Europe,Italy,144241,2006
Salona,44,39,Europe,Croatia,125086,2007
Salona,38,34,USA,Florida,162447,2010
Salona,38,35,USA,New York,134369,2010
Salona,42,43,Europe,Greece,192888,2010
Salona,S41,35,USA,Florida,250485,2013
Salona,S380,34,Europe,Italy,244402,2017
Salona,44,44,Europe,France,358416,2016
Salona,40,39,Europe,Greece,108464,2001
Salona,45,47,Europe,Croatia,104430,2001
Salona,45,42,Europe,Croatia,88661,2006
Salona,45,44,Europe,Cyprus,116973,2000
Salona,45,44,Europe,Italy,104078,2002
Salona,45,39,Europe,Italy,144241,2006
Salona,44,39,Europe,Croatia,125086,2007
Salona,38,34,USA,Florida,162447,2010
Salona,38,35,USA,New York,134369,2010
Salona,42,43,Europe,Greece,192888,2010
Salona,S41,35,USA,Florida,250485,2013
Salona,S380,34,Europe,Italy,244402,2017
Salona,44,44,Europe,France,358416,2016
