Make,Variant,Length,Geo,Origin,Price,Year
Sly,42,39,Europe,Italy,194262,2006
Sly,42,47,Europe,Italy,222835,2006
Sly,53,54,Europe,Italy,414865,2002
Sly,53,49,Europe,France,471077,2008
Sly,53,54,Europe,Turkey,354897,2008
Sly,53,55,Europe,Turkey,260828,2004
Sly,48C,43,Europe,Italy,322322,2009
Sly,47,43,Europe,Italy,258463,2008
Sly,42,39,Europe,Italy,194262,2006
Sly,42,47,Europe,Italy,222835,2006
Sly,53,54,Europe,Italy,414865,2002
Sly,53,49,Europe,France,471077,2008
Sly,53,54,Europe,Turkey,354897,2008
Sly,53,55,Europe,Turkey,260828,2004
Sly,48C,43,Europe,Italy,322322,2009
Sly,47,43,Europe,Italy,258463,2008
