Make,Variant,Length,Geo,Origin,Price,Year
Solaris,48,53,Europe,Croatia,270276,2008
Solaris,48 ONE,44,Europe,Italy,415509,2006
Solaris,One 44,48,Europe,Italy,402784,2010
Solaris,48,48,Europe,Italy,356300,2009
Solaris,44,45,Europe,Italy,398153,2011
Solaris,42,40,Europe,Italy,344997,2010
Solaris,44,41,Europe,Italy,415697,2011
Solaris,50,51,Europe,Italy,921027,2015
Solaris,48,53,Europe,Croatia,270276,2008
Solaris,48 ONE,44,Europe,Italy,415509,2006
Solaris,One 44,48,Europe,Italy,402784,2010
Solaris,48,48,Europe,Italy,356300,2009
Solaris,44,45,Europe,Italy,398153,2011
Solaris,42,40,Europe,Italy,344997,2010
Solaris,44,41,Europe,Italy,415697,2011
Solaris,50,51,Europe,Italy,921027,2015
