Make,Variant,Length,Geo,Origin,Price,Year
Southerly,135,42,USA,Maryland,303692,2004
Southerly,42 RST,35,Europe,United Kingdom,253574,2009
Southerly,38,40,Europe,Jersey,239691,2010
Southerly,38,34,Europe,France,311507,2010
Southerly,420,40,Europe,United Kingdom,598195,2011
Southerly,420,38,Europe,France,563250,2012
Southerly,535,53,USA,Connecticut,1064371,2012
Southerly,48,50,Europe,United Kingdom,1049438,2017
Southerly,135,42,USA,Maryland,303692,2004
Southerly,42 RST,35,Europe,United Kingdom,253574,2009
Southerly,38,40,Europe,Jersey,239691,2010
Southerly,38,34,Europe,France,311507,2010
Southerly,420,40,Europe,United Kingdom,598195,2011
Southerly,420,38,Europe,France,563250,2012
Southerly,535,53,USA,Connecticut,1064371,2012
Southerly,48,50,Europe,United Kingdom,1049438,2017
