Make,Variant,Length,Geo,Origin,Price,Year
Tartan,4400,37,Europe,Netherlands,255165,2001
Tartan,4400,43,USA,Rhode Island,360329,2004
Tartan,4300,38,USA,New York,440105,2006
Tartan,4400,47,USA,Connecticut,369638,2007
Tartan,4300,34,Europe,Italy,320037,2009
Tartan,4300,40,Europe,Italy,296523,2008
Tartan,4000,38,USA,New York,372302,2009
Tartan,4300,39,USA,Illinois,500286,2011
Tartan,4300,43,USA,Florida,538426,2017
Tartan,4300,44,USA,Rhode Island,513223,2016
Tartan,4400,37,Europe,Netherlands,255165,2001
Tartan,4400,43,USA,Rhode Island,360329,2004
Tartan,4300,38,USA,New York,440105,2006
Tartan,4400,47,USA,Connecticut,369638,2007
Tartan,4300,34,Europe,Italy,320037,2009
Tartan,4300,40,Europe,Italy,296523,2008
Tartan,4000,38,USA,New York,372302,2009
Tartan,4300,39,USA,Illinois,500286,2011
Tartan,4300,43,USA,Florida,538426,2017
Tartan,4300,44,USA,Rhode Island,513223,2016
