Make,Variant,Length,Geo,Origin,Price,Year
Beneteau ,Cyclades 50.5,50,Caribbean,Grenada,92634,2002
Beneteau ,Oceanis 50,48,Caribbean,Dominican Republic,289465,2005
Beneteau ,Oceanis 50,48,Caribbean,Martinique,189123,2006
Beneteau ,Cyclades 50.5,44,Caribbean,Guadeloupe,262226,2003
Beneteau ,America 50,49,Caribbean,Mexico,289429,2004
Beneteau ,Oceanis 50,44,Caribbean,Martinique,175831,2009
Beneteau ,First 45,44,Caribbean,Martinique,193276,2007
Beneteau ,Oceanis 50,45,Caribbean,Antigua and Barbuda,205678,2011
Beneteau ,Oceanis 45,54,Caribbean,Saint Vincent and the Grenadines,131354,2011
Beneteau ,Oceanis 50,55,Caribbean,Grenada,254101,2012
Beneteau ,Oceanis 45,37,Caribbean,Antigua and Barbuda,263207,2011
Beneteau ,Oceanis 45,43,Caribbean,British Virgin Islands,182430,2013
Beneteau ,Oceanis 45,49,Caribbean,British Virgin Islands,178153,2016
Beneteau ,Moorings 43.5,44,Caribbean,British Virgin Islands,80516,2014
Beneteau ,Oceanis 45,38,Caribbean,British Virgin Islands,201686,2015
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,175055,2014
Beneteau ,Oceanis 45,44,Caribbean,Martinique,341506,2014
Beneteau ,Oceanis 48,52,Caribbean,British Virgin Islands,304144,2017
Beneteau ,Oceanis 48,45,Caribbean,British Virgin Islands,351245,2014
Beneteau ,Cyclades 50.5,48,Caribbean,Grenada,96935,2001
Beneteau ,Oceanis 50,46,Caribbean,Dominican Republic,275641,2005
Beneteau ,Oceanis 50,52,Caribbean,Martinique,183567,2007
Beneteau ,Cyclades 50.5,43,Caribbean,Guadeloupe,265181,2001
Beneteau ,America 50,51,Caribbean,Mexico,328082,2007
Beneteau ,Oceanis 50,41,Caribbean,Martinique,181770,2009
Beneteau ,First 45,42,Caribbean,Martinique,196630,2008
Beneteau ,Oceanis 50,45,Caribbean,Antigua and Barbuda,192919,2010
Beneteau ,Oceanis 45,51,Caribbean,Saint Vincent and the Grenadines,133419,2012
Beneteau ,Oceanis 50,51,Caribbean,Grenada,252953,2013
Beneteau ,Oceanis 45,39,Caribbean,Antigua and Barbuda,245376,2012
Beneteau ,Oceanis 45,47,Caribbean,British Virgin Islands,189836,2012
Beneteau ,Oceanis 45,45,Caribbean,British Virgin Islands,172394,2015
Beneteau ,Moorings 43.5,44,Caribbean,British Virgin Islands,71563,2015
Beneteau ,Oceanis 45,40,Caribbean,British Virgin Islands,189760,2015
Beneteau ,Oceanis 45,44,Caribbean,British Virgin Islands,184302,2014
Beneteau ,Oceanis 45,45,Caribbean,Martinique,354996,2014
Beneteau ,Oceanis 48,48,Caribbean,British Virgin Islands,264245,2017
Beneteau ,Oceanis 48,44,Caribbean,British Virgin Islands,318091,2015
