Make,Variant,Length,Geo,Origin,Price,Year
Alubat,Ovni 395,43,Europe,France,221876,2003
Bavaria,38 Cruiser,34,Europe,Croatia,61251,2002
Bavaria,38 Cruiser,36,Europe,Croatia,61938,2003
Bavaria,38 Cruiser,37,Europe,Croatia,50374,2002
Bavaria,38 Cruiser ,40,Europe,Croatia,47575,2004
Bavaria,38 Cruiser,37,Europe,Greece,94596,2006
Bavaria,39 Cruiser,38,Europe,Greece,63455,2003
Bavaria,42 Match,39,Europe,Croatia,73071,2005
Bavaria,42 Match,40,Europe,Croatia,64004,2001
Bavaria,42 Cruiser,44,Europe,Croatia,118619,2004
Bavaria,42 Cruiser,39,Europe,Italy,97060,2003
Bavaria,42 Cruiser,38,Europe,Italy,106620,2006
Bavaria,42 Cruiser,35,Europe,Italy,90481,2002
Bavaria,Cruiser 46,45,Europe,Croatia,103296,2001
Bavaria,Cruiser 46,39,Europe,Croatia,103180,2004
Bavaria,Cruiser 46,42,Europe,Croatia,81692,2003
Bavaria,Cruiser 46,46,Europe,Croatia,107443,2001
Bavaria,Cruiser 46,40,Europe,Greece,117171,2002
Bavaria,Cruiser 46,45,Europe,Greece,105980,2004
Bavaria,Cruiser 46,46,Europe,Greece,132493,2002
Bavaria,Cruiser 46,44,Europe,Greece,93805,2006
Bavaria,Cruiser 46,46,Europe,Greece,90595,2001
Bavaria,Cruiser 46,45,Europe,Italy,111920,2000
Bavaria,Cruiser 46,42,Europe,Italy,100390,2004
Bavaria,Cruiser 46,43,Europe,Netherlands,130930,2002
Bavaria,Cruiser 46,44,Europe,Spain,158574,2002
Bavaria,50 Cruiser,45,Europe,Croatia,118486,2003
Bavaria,50 Cruiser,45,Europe,Greece,117983,2006
Bavaria,50 Cruiser,52,Europe,Italy,163732,2002
Bavaria,50 Cruiser,46,Europe,Italy,141504,2002
Bavaria,49 Cruiser,44,Europe,Croatia,108785,2002
Bavaria,49 Cruiser,52,Europe,Spain,113380,2003
Beneteau,First 40.7,35,Europe,Croatia,158448,2006
Beneteau,Cyclades 39.3,37,USA,Florida,74224,2003
Beneteau,Cyclades 39.3 ,36,Europe,Greece,82989,2000
Beneteau,First 40.7,43,USA,Illinois,111267,2005
Beneteau,Cyclades 39.3 ,35,Europe,Italy,108614,2005
Beneteau,Cyclades 39.3 ,32,Europe,Italy,88612,2003
Beneteau,Cyclades 39.3,38,Caribbean,Mexico,100149,2003
Beneteau,Cyclades 39.3 ,35,Europe,Portugal,91405,2004
Beneteau,Cyclades 39.3 ,41,Europe,Spain,126084,2005
Beneteau,Cyclades 39.3 ,35,Europe,Spain,92542,2001
Beneteau,Cyclades 39.3 ,39,Europe,United Kingdom,88360,2005
Beneteau,Oceanis 423,38,USA,Connecticut,146995,2001
Beneteau,Cyclades 43.3,38,Europe,France,115833,2003
Beneteau,Cyclades 43.3,52,Europe,France,115811,2001
Beneteau,Cyclades 43.3,39,Europe,France,104025,2006
Beneteau,Oceanis Clipper 423,42,Europe,Greece,120513,2004
Beneteau,Oceanis Clipper 423,45,Europe,Italy,102757,2003
Beneteau,Oceanis Clipper 423,43,Europe,Malta,113491,2001
Beneteau,Oceanis 423,41,USA,Maryland,143496,2004
Beneteau,Oceanis 43,38,USA,Maryland,117515,1999
Beneteau,Oceanis Clipper 423,38,Europe,Netherlands,111951,2000
Beneteau,Cyclades 43.3,38,Europe,Portugal,110237,2001
Beneteau,First 44.7,41,USA,California,184377,2004
Beneteau,First 44.7,43,USA,California,139917,2003
Beneteau,First 44.7,45,Europe,Greece,130639,2002
